id          , title                                                                                      , company                                , location                            , url                                                                                                                                                   , description, status, priority, notes                                            , firstSeenAt             , scrapedAt
a2ffe10a03b9, "Software Engineer, Cloudops"                                                              , Icertis                                , "Pune Division, Maharashtra, India" , https://in.linkedin.com/jobs/view/software-engineer-cloudops-at-icertis-4401059482                                                                    ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
a80538a627df, Jr. Dev Ops (Kubernetes) (24*7)                                                            , Appglide Solutions                     , "Chennai, Tamil Nadu, India"        , https://in.linkedin.com/jobs/view/jr-dev-ops-kubernetes-24-7-at-appglide-solutions-4416802840                                                         ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
1527efedd929, Cloud Engineer                                                                             , YENNES Infotec P Limited               , "Pune Division, Maharashtra, India" , https://in.linkedin.com/jobs/view/cloud-engineer-at-yennes-infotec-p-limited-4422827416                                                               ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
4d77f8860bfb, Site Reliability Engineer                                                                  , LSEG                                   , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/site-reliability-engineer-at-lseg-4235887767                                                                        ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
db57d2e0cbf3, "Solution Engineer (ETL, Cloud)"                                                           , Precisely                              , India                               , https://in.linkedin.com/jobs/view/solution-engineer-etl-cloud-at-precisely-4419089559                                                                 ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
a3d75da76bfb, DevOps / Cloud Engineer                                                                    , CGI                                    , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-cloud-engineer-at-cgi-4421233160                                                                             ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
ef6df9f79697, Devops Engineer                                                                            , CGI                                    , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-at-cgi-4419508375                                                                                   ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
eca3a18adb71, "Engineer, Site Reliability Engineering"                                                   , LSEG                                   , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/engineer-site-reliability-engineering-at-lseg-4409351106                                                            ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
3f7400dc4d06, Salesforce DevOPS Engineer                                                                 , Lumen Technologies India               , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/salesforce-devops-engineer-at-lumen-technologies-india-4419415390                                                   ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
34fdca0aeb09, Cloud Engineer                                                                             , YENNES Infotec P Limited               , "Gurugram, Haryana, India"          , https://in.linkedin.com/jobs/view/cloud-engineer-at-yennes-infotec-p-limited-4422829377                                                               ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
8b22a395585e, Cloud Engineer                                                                             , YENNES Infotec P Limited               , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/cloud-engineer-at-yennes-infotec-p-limited-4422828380                                                               ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
c1193570fbb1, SRE specialist programmer                                                                  , Infosys                                , "Bengaluru East, Karnataka, India"  , https://in.linkedin.com/jobs/view/sre-specialist-programmer-at-infosys-4402132028                                                                     ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
3de5d1df560f, Cloud Engineer                                                                             , YENNES Infotec P Limited               , "Kolkata, West Bengal, India"       , https://in.linkedin.com/jobs/view/cloud-engineer-at-yennes-infotec-p-limited-4422819420                                                               ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
c7dd7c3ae0b5, Associate DevOps Engineer                                                                  , Tech Data APAC                         , "Chennai, Tamil Nadu, India"        , https://in.linkedin.com/jobs/view/associate-devops-engineer-at-tech-data-apac%E2%80%8B-4409608211                                                     ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
e0f173f12496, Email Infrastructure / DevOps Engineer (Linux) role —  specializing in messaging platforms., Taknikos                               , "Hyderabad, Telangana, India"       , https://in.linkedin.com/jobs/view/email-infrastructure-devops-engineer-linux-role-%E2%80%94-specializing-in-messaging-platforms-at-taknikos-4422576585,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
2b8f4bc62325, Jira Support Engineer - Technical Specialist-Cloud & Infra Engg                            , Birlasoft                              , Pune/Pimpri-Chinchwad Area          , https://in.linkedin.com/jobs/view/jira-support-engineer-technical-specialist-cloud-infra-engg-at-birlasoft-4422844025                                 ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
a1a222511097, "DevOps Engineer, DFX Software"                                                            , NVIDIA                                 , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/devops-engineer-dfx-software-at-nvidia-4401130467                                                                   ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
a2791886d378, Support Engineer - Cloud                                                                   , VAYUZ Technologies                     , "Bengaluru, Karnataka, India"       , https://in.linkedin.com/jobs/view/support-engineer-cloud-at-vayuz-technologies-4419558319                                                             ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
3c4ca42a2514, Cloud and Big Data Engineer (AWS/Azure/Cloudera)                                           , Infosys                                , "Chennai, Tamil Nadu, India"        , https://in.linkedin.com/jobs/view/cloud-and-big-data-engineer-aws-azure-cloudera-at-infosys-4418833866                                                ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
1e0a3dcc2d24, IOT Hub DevOps Specialist                                                                  , emagine                                , "Pune Division, Maharashtra, India" , https://in.linkedin.com/jobs/view/iot-hub-devops-specialist-at-emagine-4421792987                                                                     ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
a370a402e436, Platform Engineer                                                                          , Evolent                                , "Pune Division, Maharashtra, India" , https://in.linkedin.com/jobs/view/platform-engineer-at-evolent-4379840219                                                                             ,            , new   ,        0,                                                  , 2026-06-01T15:59:46.366Z, 2026-06-01T15:59:31.494Z
05f7273ec0c9, DevOps Engineer                                                                            , KeyValue                               , "Kochi, Kerala, India"              , https://in.linkedin.com/jobs/view/devops-engineer-at-keyvalue-4412739659                                                                              ,            , new   ,        0,                                                  , 2026-06-02T08:07:07.203Z, 2026-06-02T08:06:51.280Z
